fecha_de_servicio,precio_por_lt,cant_suministrada,zona,tipo_de_unidad,km_recorrido,location,proveedor,site,year,periodo,q,status,lts_solicitados,folio_dors,destino/pozo,hora_requerida,costo
2020-12-21,17.43,1200.0,COMALCALCO,TOTE,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,1200.0,DI23630,CIBIX 1001,08:00:00,20916.0
2020-12-23,17.43,62.0,MINATITLAN,UNIDAD DE REGISTRO,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,600.0,DI23632,TUZANDEPENTL 205A,10:00:00,1080.66
2020-12-23,17.43,669.0,MINATITLAN,TRANSIT,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,150.0,DI23632,TUZANDEPENTL 205A,10:00:00,11660.67
2020-12-21,17.43,798.0,COMALCALCO,SUPER BOMBA,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,800.0,DI23645,BELLOTA 1A,09:00:00,13909.14
2020-12-21,17.43,450.0,COMALCALCO,TOTE,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,1000.0,DI23645,BELLOTA 1A,09:00:00,7843.5
2020-12-21,17.43,100.0,COMALCALCO,FRACTURADOR,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,1000.0,DI23645,BELLOTA 1A,09:00:00,1743.0
2020-12-22,17.43,220.0,AGUA DULCE,UNIDAD DE REGISTRO,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,300.0,DI23648,5 PRESIDENTES 12,09:00:00,3834.6
2020-12-22,17.43,200.0,AGUA DULCE,GRUA,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,200.0,DI23648,5 PRESIDENTES 12,09:00:00,3486.0
2020-12-22,17.43,200.0,AGUA DULCE,RABON C/HIAB,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,200.0,DI23648,5 PRESIDENTES 12,09:00:00,3486.0
2020-12-22,17.43,100.0,AGUA DULCE,TRANSIT,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,100.0,DI23648,5 PRESIDENTES 12,09:00:00,1743.0
2020-12-22,17.43,3220.0,AGUA DULCE,TANQUE ESTACIONARIO,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,3500.0,DI23654,BATERIA RABASA,11:00:00,56124.6
2020-12-22,0.0,0.0,AGUA DULCE,TOTE,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FAKE FREIGHT,1000.0,DI23654,BATERIA RABASA,11:00:00,0.0
2020-12-24,18.11036,2000.0,VERACRUZ,TOTE,0.0,MXS,HIDROIN,POZO,2021,ENERO,Q1,FINANCE,2000.0,DI23655,IXACHI 2001,12:00:00,36220.72
2020-12-22,0.0,0.0,COMALCALCO,SPF,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FAKE FREIGHT,800.0,DI23656,BELLOTA 1A,09:00:00,0.0
2020-12-22,17.43,1000.0,COMALCALCO,TOTE,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,1000.0,DI23656,BELLOTA 1A,09:00:00,17430.0
2020-12-22,17.43,150.0,COMALCALCO,FRACTURADOR,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,150.0,DI23656,BELLOTA 1A,09:00:00,2614.5
2020-12-23,17.43,700.0,CARDENAS,TOTE,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,700.0,DI23657,QUESQUI 1DL,10:00:00,12201.0
2020-12-24,17.43,500.0,CENTLA,TOTE,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,500.0,DI23660,ESCARBADO 4,09:00:00,8715.0
2020-12-24,18.11036,1800.0,VERACRUZ,TOTE,0.0,MXS,HIDROIN,POZO,2021,ENERO,Q1,FINANCE,1800.0,DI23661,IXACHI 24,08:00:00,32598.648
2020-12-31,0.0,0.0,VERACRUZ,UNIDAD DE REGISTRO,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FAKE FREIGHT,400.0,DI23662,TUZANDEPENTL 205A,10:00:00,0.0
2020-12-31,0.0,0.0,VERACRUZ,TRANSIT,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FAKE FREIGHT,150.0,DI23662,TUZANDEPENTL 205A,10:00:00,0.0
2020-12-31,17.43,1134.0,VERACRUZ,TOTE,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,600.0,DI23662,TUZANDEPENTL 205A,10:00:00,19765.62
2020-12-23,17.43,700.0,COMALCALCO,SPF,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,800.0,DI23671,BELLOTA 1A,10:00:00,12201.0
2020-12-23,17.43,750.0,COMALCALCO,TOTE,0.0,MXS,TAGAL,POZO,2021,ENERO,Q1,FINANCE,1000.0,DI23671,BELLOTA 1A,10:00:00,13072.5
