year,month,id_region,cliente,division,bl,mercancia,recorrido,importe_transaccion,cantidad_mercancia,kg_c02,arboles,precio_unitario,rendimiento,rendimiento_real,kg_c02_por_recorrido,year_month
2023,1,1000,02125-031,DAI,IGWC,G SUPER,144,1120.282449,49.78462585,120.5285792,8.035238612,22.50257845,14.0,4.11,0.837004022,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,100,2263.692449,100.5046259,243.3216992,16.22144661,22.52326627,7.0,1.17,2.433216992,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,308,1921.882449,89.78462585,217.3685792,14.49123861,21.40547372,7.0,4.11,0.70574214,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,149,1921.882449,89.78462585,217.3685792,14.49123861,21.40547372,14.0,1.99,1.458849525,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,84,758.342449,34.61462585,83.80200918,5.586800612,21.90815097,7.0,4.24,0.997642966,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,203,1212.782449,53.93462585,130.5757292,8.705048612,22.48615671,14.0,5.19,0.643230193,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,473,1444.732449,62.31462585,150.8637092,10.05758061,23.18448405,14.0,9.95,0.318950759,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,100,1340.092449,61.97462585,150.0405692,10.00270461,21.62324388,14.0,2.12,1.500405692,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,360,940.272449,42.50462585,102.9036992,6.860246612,22.12164982,14.0,12.99,0.285843609,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,207,947.372449,43.71462585,105.8331092,7.055540612,21.67175014,14.0,7.16,0.511271059,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,96,1344.772449,59.55462585,144.1817492,9.612116612,22.5804869,7.0,2.14,1.501893221,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,231,2015.282449,89.43462585,216.5212292,14.43474861,22.53358171,7.0,3.09,0.937321338,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,441,2290.282449,102.2746259,247.6068692,16.50712461,22.39345713,14.0,5.04,0.561466824,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,30,1340.282449,59.65462585,144.4238492,9.628256612,22.46736829,14.0,0.67,4.814128306,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,757,1340.022449,60.25462585,145.8764492,9.725096612,22.23932902,7.0,16.65,0.192703367,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,162,1124.302449,51.27462585,124.1358692,8.275724612,21.92707271,14.0,4.44,0.766270797,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,344,1340.112449,61.53462585,148.9753292,9.931688612,21.77818473,14.0,7.36,0.433067817,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,294,1206.992449,53.41462585,129.3168092,8.621120612,22.5966658,14.0,7.61,0.439853092,2023_1
2023,1,1000,02125-031,DAI,IGWC,BP REGULAR,700,1390.002449,61.67462585,149.3142692,9.954284612,22.53767137,7.0,14.93,0.213306099,2023_1
2023,1,1000,02125-031,DAI,IGWC,BP REGULAR,151,1340.612449,61.12462585,147.9827192,9.865514612,21.93244425,14.0,3.26,0.980018008,2023_1
2023,1,1000,02125-031,DAI,IGWC,BP REGULAR,465,1337.602449,59.33462585,143.6491292,9.576608612,22.54337041,7.0,10.44,0.308922858,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,195,991.802449,44.55462585,107.8667492,7.191116612,22.26036983,14.0,6.55,0.553162816,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,451,2135.142449,95.31462585,230.7567092,15.38378061,22.40099491,14.0,5.6,0.511655674,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,232,1383.812449,61.29462585,148.3942892,9.892952612,22.57640747,7.0,4.99,0.639630557,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,555,1940.122449,87.54462585,211.9455392,14.12970261,22.1615254,14.0,7.63,0.381883854,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,338,1644.322449,74.66462585,180.7630592,12.05087061,22.02277759,7.0,5.64,0.53480195,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,500,1239.962449,55.70462585,134.8608992,8.990726612,22.25959568,14.0,12.22,0.269721798,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,131,1739.972449,78.15462585,189.2123492,12.61415661,22.2632049,14.0,2.07,1.444369078,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,517,1160.182449,53.48462585,129.4862792,8.632418612,21.69188679,14.0,13.36,0.25045702,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,473,2023.022449,90.28462585,218.5790792,14.57193861,22.40716434,7.0,6.26,0.462112218,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,295,1211.732449,54.78462585,132.6335792,8.842238612,22.11811124,7.0,7.38,0.449605353,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,725,1617.492449,78.68462585,190.4954792,12.69969861,20.55665172,7.0,11.35,0.262752385,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,542,1460.662449,67.66462585,163.8160592,10.92107061,21.58679562,14.0,10.25,0.302243652,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,286,1130.472449,50.00462585,121.0611992,8.070746612,22.60735741,14.0,8.12,0.423290906,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,408,1840.032449,82.04462585,198.6300392,13.24200261,22.42721482,7.0,6.07,0.486838331,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,436,1969.502449,87.39462585,211.5823892,14.10549261,22.53573867,7.0,6.0,0.485280709,2023_1
