UMAP Dim 1,UMAP Dim 2,KG CO2/km,Mercancía,Id Región,Cliente,Division,BL,periodo
20.518326,7.008788,0.8370040221088437,G SUPER,1000,02125-031,DAI,IGWC,2023-01
12.539758,3.5612257,0.0007970782423669295,BP REGULAR,1000,02125-031,DAI,IGWC,2023-01
2.8299983,10.732122,2.433216991836734,MAGNA,1000,02125-031,DAI,IGWC,2023-01
6.0007915,7.833488,0.7057421402067321,MAGNA,1000,02125-031,DAI,IGWC,2023-01
5.9781237,7.793681,1.458849524722641,MAGNA,1000,02125-031,DAI,IGWC,2023-01
19.14292,0.87338394,0.997642966472303,MAGNA,1000,02125-031,DAI,IGWC,2023-01
20.48504,8.507865,0.6432301930230216,G SUPER,1000,02125-031,DAI,IGWC,2023-01
14.161848,11.2265415,0.3189507593735167,MAGNA,1000,02125-031,DAI,IGWC,2023-01
16.044592,7.395951,-1.5004056918367352,G SUPER,1000,02125-031,DAI,IGWC,2023-01
20.81784,3.1011815,0.2858436088435375,MAGNA,1000,02125-031,DAI,IGWC,2023-01
21.280682,0.72683436,0.5112710588583261,MAGNA,1000,02125-031,DAI,IGWC,2023-01
19.207561,11.010793,1.5018932206632656,MAGNA,1000,02125-031,DAI,IGWC,2023-01
5.4003158,12.352801,0.9373213384574611,MAGNA,1000,02125-031,DAI,IGWC,2023-01
2.6205506,10.207499,0.5614668235457447,G SUPER,1000,02125-031,DAI,IGWC,2023-01
7.065016,7.0904455,-0.0025594998650321113,BP REGULAR,1000,02125-031,DAI,IGWC,2023-01
19.086704,10.688535,4.814128306122447,MAGNA,1000,02125-031,DAI,IGWC,2023-01
19.143902,10.529256,0.1927033674817351,MAGNA,1000,02125-031,DAI,IGWC,2023-01
22.192675,5.689518,0.7662707974300834,G SUPER,1000,02125-031,DAI,IGWC,2023-01
16.626226,8.080287,0.4330678173943997,G SUPER,1000,02125-031,DAI,IGWC,2023-01
20.165758,1.2497588,0.20882961614308646,G SUPER,1000,02125-031,DAI,IGWC,2023-01
20.041521,8.314908,0.4398530924614745,MAGNA,1000,02125-031,DAI,IGWC,2023-01
18.765163,11.919844,-0.21330609883381912,BP REGULAR,1000,02125-031,DAI,IGWC,2023-01
17.680521,9.509299,0.9800180078388974,BP REGULAR,1000,02125-031,DAI,IGWC,2023-01
19.58189,11.112697,0.30892285845951273,BP REGULAR,1000,02125-031,DAI,IGWC,2023-01
20.91623,4.412673,0.5531628163265307,G SUPER,1000,02125-031,DAI,IGWC,2023-01
4.067133,11.124878,0.511655674464908,G SUPER,1000,02125-031,DAI,IGWC,2023-01
13.975868,14.111161,0.17091326787941175,MAGNA,1000,02125-031,DAI,IGWC,2023-01
18.75433,11.983406,0.6396305568261785,MAGNA,1000,02125-031,DAI,IGWC,2023-01
6.825759,11.424934,0.3818838543849973,G SUPER,1000,02125-031,DAI,IGWC,2023-01
13.229623,13.1271925,0.5348019502475547,MAGNA,1000,02125-031,DAI,IGWC,2023-01
21.20742,9.092826,0.269721798367347,G SUPER,1000,02125-031,DAI,IGWC,2023-01
11.16485,13.935079,1.4443690777379656,MAGNA,1000,02125-031,DAI,IGWC,2023-01
